Qubit ID,Computer,Number of Algorithms Run,Total Gates Run,Mean KVD,Min KVD,Max KVD,Std of KVD,Spread of KVD,Median KVD,25th Percentile KVD,75th Percentile KVD,IQR of KVD
84,cusco,87,13269,9.589670075302585,3.528850746877324e-05,19.67003580576978,8.180771802843934,19.67000051726231,13.093617307435022,0.2346230958665355,17.41384606351867,17.179222967652134
85,cusco,110,15681,10.425496291902059,3.528850746877324e-05,19.67003580576978,8.030537322462752,19.67000051726231,13.186611171866195,0.24744008758114985,17.42114223108248,17.17370214350133
58,cusco,104,19266,9.418462862094575,6.49939467409098e-05,19.536470211322175,7.80417239047547,19.536405217375435,10.727823503310082,0.22848254481900837,16.885846144488873,16.657363599669864
59,cusco,97,13481,9.209197310252334,6.49939467409098e-05,19.536470211322175,7.878964109421526,19.536405217375435,10.481489103825753,0.22254518031584833,16.975501470184273,16.752956289868425
71,cusco,105,13152,9.474412441529093,6.49939467409098e-05,19.67003580576978,7.90358625446493,19.66997081182304,11.86856728247691,0.2387845254130093,16.98450911655822,16.74572459114521
77,cusco,105,14800,10.113792349368357,6.49939467409098e-05,19.67003580576978,7.938681381074803,19.66997081182304,13.136567892544953,0.24151846956151715,17.358454575878177,17.11693610631666
78,cusco,93,11354,10.602700442580304,6.49939467409098e-05,19.67003580576978,7.842359758624928,19.66997081182304,14.473396508931199,0.6657329580327397,17.423287560891506,16.757554602858765
79,cusco,121,18632,10.120198796117998,6.49939467409098e-05,19.67003580576978,7.916104518611141,19.66997081182304,13.136567892544953,0.24867129382557313,17.41298588538193,17.164314591556355
91,cusco,110,13571,10.282965043135778,0.00023765468571216447,19.67003580576978,7.889864145310668,19.669798151084066,13.176579884761445,0.6713608216071725,17.408946765750805,16.737585944143632
0,cusco,34,2915,10.77926874840246,6.49939467409098e-05,19.626779433658527,8.166165886049205,19.626714439711787,14.503995371183713,0.42476727573975703,17.45368849270289,17.028921216963134
14,cusco,34,3010,10.77926874840246,6.49939467409098e-05,19.626779433658527,8.166165886049205,19.626714439711787,14.503995371183713,0.42476727573975703,17.45368849270289,17.028921216963134
18,cusco,40,2957,10.819150046883431,6.49939467409098e-05,19.626779433658527,8.115982631823451,19.626714439711787,14.503995371183713,0.6595238320706317,17.767724331476522,17.10820049940589
19,cusco,48,3051,10.416495667438918,6.49939467409098e-05,19.626779433658527,8.144852251572052,19.626714439711787,14.494768265551382,0.660102410478443,17.42655342115558,16.766451010677137
20,cusco,64,6703,10.72865764901363,6.49939467409098e-05,19.626779433658527,7.692894810948913,19.626714439711787,13.83545174838676,0.7795411076555818,17.180162297180246,16.400621189524664
33,cusco,66,6862,10.697970791028043,6.49939467409098e-05,19.626779433658527,7.573157170775457,19.626714439711787,13.17347304238275,0.7997171343788818,17.172495890106084,16.372778755727204
56,cusco,39,4713,8.504051172286978,6.49939467409098e-05,19.13317733790925,7.4124873618139935,19.13311234396251,9.495807900356523,0.20024223625553766,15.559841758925629,15.359599522670091
57,cusco,47,8469,8.807689027616185,6.49939467409098e-05,19.18816758937774,7.528276645593404,19.188102595431,9.954812331957413,0.20024223625553766,16.649914689613283,16.449672453357746
98,cusco,109,16732,10.053072216542972,0.00010954061342220191,19.67003580576978,7.9485980203549635,19.669926265156356,13.123478921489255,0.24867129382557313,17.414706241655406,17.166034947829832
99,cusco,84,13271,10.666866167657853,0.00010954061342220191,19.67003580576978,7.924843739873202,19.669926265156356,13.831557261588044,0.6826165487560378,17.42907579945641,16.746459250700372
21,cusco,42,3642,9.505775336350055,6.49939467409098e-05,18.95105004454686,7.6816764617652735,18.95098505060012,13.067837877796947,0.2615897144132308,16.784519640791984,16.522929926378755
75,cusco,42,2539,8.00577105027945,6.49939467409098e-05,19.50765294573896,8.223836896682347,19.50758795179222,5.119803744414201,0.20403948620477536,17.061757622268154,16.85771813606338
